Ticker,Company,Sector,Current Price,Market Cap (Cr),PE Ratio,PB Ratio,Dividend Yield %,ROE %,Profit Margin %,Revenue Growth %,Earnings Growth %,Debt/Equity,RSI,Return 1M %,Return 3M %,Return 6M %,Return 1Y %,Volatility %,52W High,52W Low,Target Price,Upside %,Valuation Score,Growth Score,Combined Score,Recommendation,Beta,SMA_50,SMA_200
SUNTECK.NS,Sunteck Realty,Real Estate,301.15,4422.0,21.6,1.32,0.49,5.23,18.19,64.5,26.2,17.31,27.54,-14.49,-26.35,-28.07,,39.61,478.75,270.75,516.8333,71.62,3,95.9,3.4,none,0.72,319.14,389.71
HEROMOTOCO.NS,Hero MotoCorp,Auto,4983.0,99706.0,17.38,4.61,3.72,28.03,12.11,30.2,25.7,3.57,38.8,-1.68,-8.82,-15.37,,26.55,6388.5,4158.1,5931.8857,19.04,10,98.2,6.7,buy,0.56,5152.15,5382.64
IREDA.NS,IREDA,Energy,129.54,36391.0,18.94,2.69,0.92,,45.95,40.8,32.5,554.12,34.69,-6.16,2.82,-9.82,,30.58,186.58,108.65,150.0,15.79,12,99.5,7.4,none,,125.71,136.48
GODREJPROP.NS,Godrej Properties,Real Estate,1760.2,53019.0,28.62,2.77,0.57,9.97,36.06,63.0,70.1,82.12,34.36,-3.53,-3.59,-15.82,,34.17,2506.5,1434.0,2267.4158,28.82,14,100.0,8.4,none,0.48,1704.19,1916.36
IOC.NS,Indian Oil Corp,Energy,142.38,201058.0,4.66,0.89,6.95,20.97,5.37,6.7,78.1,58.45,42.77,-2.07,-17.04,-11.21,,25.19,188.96,130.22,159.41936,11.97,0,75.7,9.7,buy,0.86,142.44,151.18
LUPIN.NS,Lupin,Pharma,2266.0,103605.0,19.46,4.61,0.52,26.91,19.07,31.9,89.0,29.39,28.6,-1.59,2.1,11.66,,20.54,2494.0,1836.8,2458.5,8.5,13,95.0,9.8,buy,0.23,2308.5,2125.96
GENUSPOWER.NS,Genus Power,Energy,325.9,9018.0,15.31,4.06,0.76,29.0,12.47,64.1,39.5,103.82,43.98,4.54,25.18,-1.82,,41.06,430.0,206.36049,437.5,34.24,17,100.0,10.2,strong_buy,0.34,283.37,301.28
M&M.NS,Mahindra & Mahindra,Auto,3107.3,373113.0,20.41,3.73,1.05,18.75,8.46,30.9,44.8,125.07,35.11,0.62,-8.95,-17.13,,26.92,3839.9,2896.0,4143.647,33.35,19,99.7,11.5,strong_buy,0.38,3125.78,3433.87
ICICIBANK.NS,ICICI Bank,Banking,1279.1,917029.0,17.1,2.52,0.85,16.36,24.93,66.9,8.4,,49.86,-1.0,-8.28,-6.6,,18.05,1500.0,1187.6,1669.8,30.54,9,81.7,12.7,strong_buy,0.28,1276.72,1357.99
MRF.NS,MRF,Auto,127160.0,53930.0,22.21,2.57,18.0,12.29,7.79,13.4,37.1,15.29,39.67,-2.27,-13.14,-16.31,,24.65,163600.0,123455.0,137088.4,7.81,19,93.6,13.9,hold,0.2,130933.1,144528.62
